stock_code,company_name,short_name,issue_date,signal_date,entry_date,observed_branch_days,branch_window_start,branch_window_end,avg_top_broker_pressure,positive_pressure_day_rate,avg_buy_broker_turnover_pct,issue_observed_branch_days,issue_branch_window_start,issue_branch_window_end,issue_avg_top_broker_pressure,issue_positive_pressure_day_rate,persistent_buy_broker_n,persistent_sell_broker_n,dominant_net_buy_broker,dominant_net_buy_lots_20d,prior_cb_broker_overlap_n,company_side_proxy_score,company_side_proxy_reasons,fixed_return_365d,current_return_pct
6438,迅得機械股份有限公司,迅得二,2023-05-05,2024-03-27,2024-03-28,20,2024-02-29,2024-03-27,0.06944817622532316,0.6,32.092,20,2023-04-07,2023-05-05,0.1115635750651464,0.85,30,22,美商高盛,447.0,0,6,"[""signal_buy_pressure"", ""signal_buy_pressure_persistent"", ""issue_stage_buy_pressure""]",59.3635,
5608,四維航業股份有限公司,四維航六,2023-06-21,2024-05-14,2024-05-15,20,2024-04-16,2024-05-14,-0.023586273072231316,0.45,27.5865,20,2023-05-25,2023-06-21,-0.09370221938692688,0.3,24,24,永豐金證券,1355.0,0,-1,"[""issue_stage_sell_pressure""]",-24.6187,
5434,崇越科技股份有限公司,崇越二,2023-06-29,2024-04-18,2024-04-19,20,2024-03-20,2024-04-18,-0.06347465096277169,0.3,31.110500000000002,20,2023-05-31,2023-06-29,-0.14304378397406603,0.3,34,30,摩根大通,648.0,0,-3,"[""signal_sell_pressure"", ""issue_stage_sell_pressure""]",-4.9813,
6472,保瑞藥業股份有限公司,保瑞三,2023-08-04,2024-01-17,2024-01-18,20,2023-08-04,2024-01-17,-0.015367902509274247,0.35,24.9445,20,2023-07-07,2023-08-04,-0.02507106495731143,0.45,28,33,美商高盛,482.0,0,0,[],14.7646,
3088,艾訊股份有限公司,艾訊二,2023-08-28,2024-09-04,2024-09-05,20,2024-08-08,2024-09-04,0.03590027535907693,0.55,51.5295,20,2023-07-31,2023-08-28,-0.03548184848003126,0.45,29,25,富邦證券,316.0,0,2,"[""signal_buy_pressure_persistent""]",-2.6413,
6873,泓德能源科技股份有限公司,泓德能源一創,2023-09-28,2024-10-01,2024-10-04,20,2024-09-03,2024-10-01,-0.041709945780518176,0.35,42.467,20,2023-09-01,2023-09-28,-0.0010562281784677464,0.25,35,30,凱基-大直,357.0,0,0,[],-47.6329,
6189,豐藝電子股份有限公司,豐藝四,2023-11-10,2024-07-01,2024-07-02,20,2024-06-03,2024-07-01,0.012316275271152718,0.5,24.943000000000005,20,2023-10-16,2023-11-10,0.09172329002668439,0.7,22,26,新加坡商瑞銀,2667.0,0,1,"[""issue_stage_buy_pressure""]",-19.22,
3013,晟銘電子科技股份有限公司,晟銘電三,2023-11-16,2024-05-31,2024-06-03,20,2024-05-06,2024-05-31,0.0005097277318452789,0.5,11.405000000000001,20,2023-10-20,2023-11-16,-0.045498143440572715,0.4,32,31,凱基-台北,1493.0,0,0,[],2.4873,
9941,裕融企業股份有限公司,裕融二,2023-11-20,2024-06-19,2024-06-20,20,2024-05-22,2024-06-19,0.07018800973907191,0.6,48.727000000000004,20,2023-10-24,2023-11-20,-0.06870007392726431,0.35,27,25,摩根大通,5301.0,0,4,"[""signal_buy_pressure"", ""signal_buy_pressure_persistent"", ""issue_stage_sell_pressure""]",-35.6167,
6806,森崴能源股份有限公司,森崴能源一,2023-11-22,2024-02-16,2024-02-19,20,2024-01-11,2024-02-16,-0.04703651329281216,0.45,27.560499999999998,20,2023-10-26,2023-11-22,0.04435131199463216,0.6,23,28,凱基-台北,1593.0,0,0,[],-1.9456,
