event_id,stock_code,company_name,cb_code,short_name,issue_date,entry_close,max_high_return_365d,max_high_date_365d,days_to_100_365d,first_trust_signal_offset,trust_linked_any_checkpoint,t0_entry_date,t0_trust_net_20d_pct_capital,t0_trust_buy_days_20d,t0_trust_consecutive_buy_days,t0_trust_signal_ge_0_2pct,t20_entry_date,t20_trust_net_20d_pct_capital,t20_trust_buy_days_20d,t20_trust_consecutive_buy_days,t20_trust_signal_ge_0_2pct,t40_entry_date,t40_trust_net_20d_pct_capital,t40_trust_buy_days_20d,t40_trust_consecutive_buy_days,t40_trust_signal_ge_0_2pct,t60_entry_date,t60_trust_net_20d_pct_capital,t60_trust_buy_days_20d,t60_trust_consecutive_buy_days,t60_trust_signal_ge_0_2pct
2636|26364|2020-12-02,2636,台驊國際投資控股股份有限公司,26364,台驊投控四,2020-12-02,23.449,801.69,2021-07-05,141,,False,2020-12-02,-0.915,0,0,False,2020-12-30,-0.0854,0,0,False,2021-01-28,0.0,0,0,False,2021-03-09,-0.026,0,0,False
3141|31411|2020-11-25,3141,晶宏半導體股份有限公司,31411,晶宏一,2020-11-25,34.8973,653.09,2021-11-15,125,20,True,2020-11-25,0.0,0,0,False,2020-12-23,1.0748,3,0,True,2021-01-21,0.283,5,0,True,2021-03-02,-0.2815,0,0,False
6150|61504|2020-04-29,6150,撼訊科技股份有限公司,61504,撼訊四,2020-04-29,36.7601,459.36,2021-04-16,201,,False,2020-04-29,0.0,0,0,False,2020-05-28,0.0,0,0,False,2020-06-29,0.0,0,0,False,2020-07-27,0.0,0,0,False
2230|22304|2023-01-06,2230,泰茂實業股份有限公司,22304,泰茂四,2023-01-06,26.5983,437.6,2023-12-20,49,,False,2023-01-06,0.0,0,0,False,2023-02-15,0.0,0,0,False,2023-03-17,0.0,0,0,False,2023-04-19,0.0,0,0,False
6593|65931|2022-12-14,6593,台灣銘板股份有限公司,65931,台灣銘板一,2022-12-14,43.6351,383.33,2023-12-13,215,,False,2022-12-14,0.0,0,0,False,2023-01-12,0.0,0,0,False,2023-02-21,0.0,0,0,False,2023-03-23,0.0,0,0,False
8097|80972|2021-06-21,8097,常珵科技股份有限公司,80972,常珵二,2021-06-21,20.5116,313.38,2022-06-13,283,,False,2021-06-21,0.0,0,0,False,2021-07-19,0.0,0,0,False,2021-08-16,0.0,0,0,False,2021-09-13,0.0,0,0,False
3013|30133|2023-11-16,3013,晟銘電子科技股份有限公司,30133,晟銘電三,2023-11-16,43.7603,298.63,2024-11-13,187,,False,2023-11-16,0.0,0,0,False,2023-12-14,0.0,0,0,False,2024-01-12,-0.001,0,0,False,2024-02-20,-0.0168,0,0,False
6869|68691|2023-11-28,6869,雲豹能源科技股份有限公司,68691,雲豹能源一創,2023-11-28,87.5042,257.14,2024-07-22,210,,False,2023-11-28,,0,0,False,2023-12-26,,0,0,False,2024-01-24,,0,0,False,2024-03-04,,0,0,False
6472|64722|2022-09-28,6472,保瑞藥業股份有限公司,64722,保瑞二,2022-09-28,182.6118,250.12,2023-07-25,175,,False,2022-09-28,-1.1756,9,2,False,2022-10-27,-0.536,9,1,False,2022-11-24,-0.9378,6,0,False,2022-12-22,-1.8293,2,2,False
1514|15141|2023-08-17,1514,亞力電機股份有限公司,15141,亞力一,2023-08-17,50.9364,237.17,2024-04-15,200,,False,2023-08-17,-0.209,4,1,False,2023-09-14,-0.0555,5,0,False,2023-10-17,0.0088,5,0,False,2023-11-14,-0.1276,0,0,False
2383|23837|2024-10-09,2383,台光電子材料股份有限公司,23837,台光電七,2024-10-09,413.5741,236.09,2025-09-23,244,40,True,2024-10-09,-1.4753,7,0,False,2024-11-08,-0.6148,8,0,False,2024-12-06,1.2515,12,3,True,2025-01-06,-1.0741,9,0,False
2603|26034|2021-05-18,2603,長榮海運股份有限公司,26034,長榮四,2021-05-18,59.5574,235.73,2021-07-06,29,,False,2021-05-18,0.0143,14,1,False,2021-06-16,-0.521,3,0,False,2021-07-14,-0.1511,5,0,False,2021-08-11,-0.2721,7,0,False
3305|33053|2020-12-18,3305,昇貿科技股份有限公司,33053,昇貿三,2020-12-18,24.2234,227.11,2021-11-16,203,,False,2020-12-18,0.0,0,0,False,2021-01-18,0.0,0,0,False,2021-02-24,0.0,0,0,False,2021-03-25,0.0,0,0,False
3305|33054|2020-12-21,3305,昇貿科技股份有限公司,33054,昇貿四,2020-12-21,24.3068,225.99,2021-11-16,200,,False,2020-12-21,0.0,0,0,False,2021-01-19,0.0,0,0,False,2021-02-25,0.0,0,0,False,2021-03-26,0.0,0,0,False
6589|65891|2020-05-29,6589,台康生技股份有限公司,65891,台康生技一,2020-05-29,58.5293,222.06,2021-05-17,304,,False,2020-05-29,,0,0,False,2020-06-30,,0,0,False,2020-07-28,,0,0,False,2020-08-25,,0,0,False
2383|23836|2024-09-25,2383,台光電子材料股份有限公司,23836,台光電六,2024-09-25,466.8748,197.72,2025-09-23,282,0,True,2024-09-25,1.9605,14,0,True,2024-10-28,-2.01,6,1,False,2024-11-26,0.7407,10,0,True,2024-12-24,0.2098,12,0,True
6873|68731|2023-09-28,6873,泓德能源科技股份有限公司,68731,泓德能源一創,2023-09-28,91.2315,190.18,2024-09-26,281,,False,2023-09-28,,0,0,False,2023-10-31,,0,0,False,2023-11-28,,0,0,False,2023-12-26,,0,0,False
9958|99585|2023-07-19,9958,世紀鋼鐵結構股份有限公司,99585,世紀鋼五,2023-07-19,137.053,162.93,2024-06-18,308,60,True,2023-07-19,-0.1411,7,0,False,2023-08-17,0.077,8,0,False,2023-09-14,0.0546,4,0,False,2023-10-17,0.8257,10,2,True
9906|99062|2024-05-07,9906,欣巴巴事業股份有限公司,99062,欣巴巴二,2024-05-07,80.427,155.11,2024-08-15,83,,False,2024-05-07,0.0,0,0,False,2024-06-04,0.0,0,0,False,2024-07-03,0.0,0,0,False,2024-08-02,0.0,0,0,False
3680|36803|2022-07-07,3680,家登精密工業股份有限公司,36803,家登三,2022-07-07,161.3182,154.65,2023-06-27,256,20,True,2022-07-07,-0.9339,3,0,False,2022-08-04,2.4793,12,10,True,2022-09-01,3.2843,15,7,True,2022-09-30,3.4971,16,5,True
2482|24822|2021-07-12,2482,連宇股份有限公司,24822,連宇二,2021-07-12,11.965,150.97,2022-07-06,330,,False,2021-07-12,0.0,0,0,False,2021-08-09,0.0,0,0,False,2021-09-06,0.0,0,0,False,2021-10-06,0.0,0,0,False
1593|15932|2020-11-04,1593,祺驊股份有限公司,15932,祺驊二,2020-11-04,43.3748,150.16,2021-01-29,79,,False,2020-11-04,0.0,0,0,False,2020-12-02,0.0,0,0,False,2020-12-30,0.0,0,0,False,2021-01-28,0.0,0,0,False
1342|13421|2022-06-02,1342,八貫企業股份有限公司,13421,八貫一,2022-06-02,53.5084,146.97,2023-03-27,252,,False,2022-06-02,0.0,0,0,False,2022-07-01,0.0,0,0,False,2022-07-29,0.0,0,0,False,2022-08-26,0.0,0,0,False
3260|32607|2020-09-28,3260,威剛科技股份有限公司,32607,威剛七,2020-09-28,40.6641,145.81,2021-07-07,210,0,True,2020-09-28,0.3642,5,1,True,2020-10-29,1.0215,10,0,True,2020-11-26,0.8275,5,4,True,2020-12-24,1.1618,9,0,True
1316|13164|2021-01-29,1316,上曜建設開發股份有限公司,13164,上曜四,2021-01-29,11.7051,137.18,2022-01-20,353,,False,2021-01-29,0.0,0,0,False,2021-03-10,0.0,0,0,False,2021-04-12,0.0,0,0,False,2021-05-11,0.0,0,0,False
8927|89275|2020-12-23,8927,北基國際股份有限公司,89275,北基五,2020-12-23,10.7708,136.97,2021-04-27,119,,False,2020-12-23,0.0,0,0,False,2021-01-21,0.0,0,0,False,2021-03-02,0.0,0,0,False,2021-03-30,0.0,0,0,False
4967|49673|2024-01-26,4967,十銓科技股份有限公司,49673,十銓三,2024-01-26,74.7674,134.73,2024-06-14,138,20,True,2024-01-26,-0.225,0,0,False,2024-03-06,0.3774,2,0,True,2024-04-03,0.0,0,0,False,2024-05-06,-0.3774,0,0,False
1316|13165|2021-02-01,1316,上曜建設開發股份有限公司,13165,上曜五,2021-02-01,11.8552,134.18,2022-01-20,350,,False,2021-02-01,0.0,0,0,False,2021-03-11,0.0,0,0,False,2021-04-13,0.0,0,0,False,2021-05-12,0.0,0,0,False
9958|99586|2023-07-31,9958,世紀鋼鐵結構股份有限公司,99586,世紀鋼六,2023-07-31,154.3649,133.44,2024-06-18,312,40,True,2023-07-31,-0.2362,7,2,False,2023-08-29,0.0435,7,2,False,2023-09-26,0.3765,7,0,True,2023-10-27,0.951,13,10,True
4967|49672|2020-10-07,4967,十銓科技股份有限公司,49672,十銓二,2020-10-07,41.3587,130.41,2021-07-27,202,60,True,2020-10-07,0.0,0,0,False,2020-11-05,0.0,0,0,False,2020-12-03,0.0,0,0,False,2020-12-31,0.4835,5,0,True
4919|49191|2020-05-20,4919,新唐科技股份有限公司,49191,新唐一,2020-05-20,29.9239,130.38,2021-04-22,323,,False,2020-05-20,0.001,2,0,False,2020-06-17,-0.0003,0,0,False,2020-07-17,-0.0017,2,0,False,2020-08-14,-0.0017,1,0,False
3325|33253|2023-05-09,3325,旭品科技股份有限公司,33253,旭品三,2023-05-09,19.5,129.23,2023-10-06,146,,False,2023-05-09,0.0,0,0,False,2023-06-06,0.0,0,0,False,2023-07-06,0.0,0,0,False,2023-08-04,0.0,0,0,False
6139|61394|2024-01-25,6139,亞翔工程股份有限公司,61394,亞翔四,2024-01-25,149.2145,127.33,2024-04-12,77,40,True,2024-01-25,-0.0572,9,1,False,2024-03-05,0.0137,8,0,False,2024-04-02,7.1752,10,7,True,2024-05-03,-0.0572,10,0,False
4566|45663|2023-11-27,4566,時碩工業股份有限公司,45663,時碩工業三,2023-11-27,49.2962,124.51,2024-07-22,228,,False,2023-11-27,0.0,0,0,False,2023-12-25,0.0,0,0,False,2024-01-23,0.0,0,0,False,2024-03-01,0.0,0,0,False
4760|47601|2020-08-25,4760,勤凱科技股份有限公司,47601,勤凱一,2020-08-25,56.3928,124.1,2021-07-27,332,,False,2020-08-25,0.0,0,0,False,2020-09-22,0.0,0,0,False,2020-10-23,0.0,0,0,False,2020-11-20,0.0,0,0,False
2618|26184|2020-10-21,2618,長榮航空股份有限公司,26184,長榮航四,2020-10-21,8.7275,123.47,2021-06-22,226,,False,2020-10-21,-0.0309,4,0,False,2020-11-18,0.0824,2,1,False,2020-12-16,0.162,13,1,False,2021-01-14,-0.2797,7,1,False
6655|66551|2021-01-05,6655,科定企業股份有限公司,66551,科定一,2021-01-05,31.0376,122.47,2021-10-28,293,,False,2021-01-05,0.0,0,0,False,2021-02-02,0.0,0,0,False,2021-03-12,0.0,0,0,False,2021-04-14,0.0,0,0,False
1595|15952|2024-09-02,1595,川寶科技股份有限公司,15952,川寶二,2024-09-02,38.9044,119.22,2024-10-22,49,,False,2024-09-02,0.0,0,0,False,2024-10-01,0.0,0,0,False,2024-11-04,0.0,0,0,False,2024-12-02,0.0,0,0,False
1786|17862|2022-10-03,1786,科妍生物科技股份有限公司,17862,科妍二,2022-10-03,40.8497,118.2,2023-07-20,273,,False,2022-10-03,0.0,0,0,False,2022-11-01,0.0,0,0,False,2022-11-29,0.0,0,0,False,2022-12-27,0.0,0,0,False
3092|30921|2020-09-21,3092,鴻碩精密電工股份有限公司,30921,鴻碩一,2020-09-21,35.2985,116.62,2021-03-18,120,,False,2020-09-21,,0,0,False,2020-10-22,,0,0,False,2020-11-19,,0,0,False,2020-12-17,,0,0,False
