stock_code,company_name,cb_code,short_name,issue_date,signal_date,entry_date,trust_daily_pct_capital,ma5,ma10,ma20,signal_volume,avg_volume_prev20,volume_ratio_signal_v20,fin_month,revenue_yoy,revenue_mom,revenue_high_6,fin_quarter,eps,operating_income,gross_margin,operating_margin,three_margin_qoq_rise,fixed_return_365d,hit_100_365d,min_low_return_365d,max_high_return_365d
1513,中興電工機械股份有限公司,15131,中興電一,2020-01-16,2020-09-04,2020-09-07,0.352143,33.412,29.8503,27.7818,72957901.0,12592511.2,5.7938,2020-07,-0.0611,0.057143717776555615,False,,,,,,,2.2881,False,-13.3401,39.8013
6416,瑞祺電通股份有限公司,64161,瑞祺電通一,2020-02-10,2020-03-13,2020-03-16,0.529135,104.0984,99.926,99.3149,6971019.0,3670206.75,1.8994,2020-02,0.47590000000000005,-0.23487634099488783,False,,,,,,,9.2859,False,-13.4454,47.479
4967,十銓科技股份有限公司,49671,十銓一,2020-02-17,2020-02-24,2020-02-25,0.219756,47.0748,45.078,43.5407,7108899.0,4928028.65,1.4425,2020-01,-0.2515,-0.27050049888849964,False,,,,,,,32.3603,False,-43.2234,52.9162
3483,力致科技股份有限公司,34832,力致二,2020-02-20,2020-04-08,2020-04-09,0.592698,32.4644,29.7346,27.2084,9674573.0,3496194.75,2.7672,2020-02,-0.258,-0.5058163302014212,False,,,,,,,152.1103,True,-9.0909,172.7108
6441,廣錠科技股份有限公司,64411,廣錠一,2020-03-05,2020-04-28,2020-04-29,1.137756,59.3787,58.9669,57.1306,3713130.0,2045832.1,1.815,2020-03,1.0932,0.011939915265117474,False,,,,,,,59.5673,True,-4.6917,152.5326
2228,劍麟股份有限公司,22282,劍麟二,2020-03-09,2020-06-03,2020-06-04,0.291633,67.5262,66.3819,66.0154,2692724.0,483925.25,5.5643,2020-04,-0.5058,-0.4628978201257513,False,,,,,,,-27.5702,False,-32.5086,1.9417
2492,華新科技股份有限公司,24921,華新科一,2020-04-29,2020-11-03,2020-11-04,0.256072,142.2412,140.5813,138.6447,35483429.0,4512610.1,7.8632,2020-09,0.5029,0.04530333217837454,True,,,,,,,-10.863,False,-21.8991,59.726
6274,台燿科技股份有限公司,62743,台燿三,2020-05-22,2020-06-17,2020-06-18,0.206562,112.9311,111.6807,109.4728,4237000.0,3096050.0,1.3685,2020-05,0.1558,-0.06457144870108798,False,,,,,,,-21.4482,False,-39.8477,1.3605
9958,世紀鋼鐵結構股份有限公司,99584,世紀鋼四,2020-08-11,2020-08-18,2020-08-19,0.282188,89.6794,88.1344,84.6158,29579518.0,11023076.9,2.6834,2020-07,3.2469,0.20651808828924728,True,,,,,,,4.7593,False,-9.1451,38.5679
9802,鈺齊國際股份有限公司,98025,鈺齊五KY,2020-08-17,2020-08-17,2020-08-18,0.48868,92.0558,88.6457,87.0985,6111964.0,2275661.1,2.6858,,,,,,,,,,,-27.3162,False,-29.9362,17.8999
1598,岱宇國際股份有限公司,15982,岱宇二,2020-08-24,2020-10-28,2020-10-29,0.211988,97.4378,96.1876,95.2026,3087399.0,4434945.1,0.6962,2020-09,1.8167,0.2663427961993059,True,,,,,,,-45.5278,False,-51.3281,26.5625
4760,勤凱科技股份有限公司,47601,勤凱一,2020-08-25,2021-01-07,2021-01-08,0.428357,72.3605,71.1958,70.4794,2116800.0,1778542.5,1.1902,2020-11,0.8748999999999999,0.043297315549552594,True,,,,,,,-6.0914,False,-6.0914,65.2667
3092,鴻碩精密電工股份有限公司,30921,鴻碩一,2020-09-21,2021-01-12,2021-01-13,0.326605,54.7355,53.562,51.3799,4953730.0,4862721.65,1.0187,2020-12,-0.1718,-0.036325193513552755,False,,,,,,,-11.6661,False,-14.5156,36.9458
3260,威剛科技股份有限公司,32607,威剛七,2020-09-28,2020-10-07,2020-10-08,0.437008,42.5118,41.8378,41.6561,6700631.0,2876514.15,2.3294,2020-08,0.1482,-0.012572561265878615,False,,,,,,,37.2238,True,-8.0944,122.597
4967,十銓科技股份有限公司,49672,十銓二,2020-10-07,2020-12-09,2020-12-10,0.249057,45.9783,43.4387,40.5666,3419105.0,2744407.7,1.2458,2020-10,-0.0085,-0.29253623161424763,False,,,,,,,16.2521,True,-7.5641,102.0513
5263,智崴資訊科技股份有限公司,52633,智崴三,2020-10-12,2021-03-08,2021-03-09,0.224226,111.9671,110.0635,103.8648,1024000.0,279450.0,3.6643,2021-01,-0.4987,-0.15357934290394065,False,,,,,,,-8.9494,False,-21.7899,32.6848
5309,系統電子工業股份有限公司,53094,系統電四,2020-10-20,2020-11-03,2020-11-04,1.73597,37.202,36.215,36.0171,56055000.0,5935750.0,9.4436,2020-09,0.5203,0.03211463664278403,True,,,,,,,-14.8272,False,-46.7113,23.7458
6441,廣錠科技股份有限公司,64413,廣錠三,2020-10-26,2021-02-22,2021-02-23,0.285145,122.6601,120.5729,119.396,3229009.0,1098966.05,2.9382,2021-01,-0.2614,-0.12087723970023205,False,,,,,,,-65.8783,False,-75.7566,1.6447
3653,健策精密工業股份有限公司,36533,健策三,2020-10-30,2020-12-08,2020-12-09,0.312331,235.119,234.4879,231.5215,2917534.0,2533086.45,1.1518,2020-10,-0.0313,-0.12097182267527878,False,,,,,,,50.2857,False,-30.5842,61.4958
6477,安集科技股份有限公司,64772,安集二,2020-10-30,2020-12-24,2020-12-25,0.431944,58.6943,56.888,56.5795,85273763.0,10311634.5,8.2697,2020-11,0.2853,-0.3312295329447012,False,,,,,,,-31.8492,False,-57.9376,3.951
3324,雙鴻科技股份有限公司,33244,雙鴻四,2020-11-12,2020-11-12,2020-11-13,2.743789,212.8329,204.7212,199.1307,27110000.0,2990050.0,9.0667,2020-10,0.2458,-0.04372855132798321,False,,,,,,,-32.7496,False,-48.8636,0.5682
3413,京鼎精密科技股份有限公司,34132,京鼎二,2020-11-16,2020-12-03,2020-12-04,0.25155,159.7381,158.7422,153.8389,7042601.0,2740138.0,2.5702,2020-10,0.2184,-0.0070640423914053955,False,,,,,,,10.4276,False,-16.2101,28.5388
3141,晶宏半導體股份有限公司,31411,晶宏一,2020-11-25,2020-12-09,2020-12-10,0.278484,36.5319,36.1416,34.6057,6174000.0,2852050.0,2.1648,2020-10,0.5261,-0.04892376390002818,False,,,,,,,518.4456,True,-12.9545,550.3949
2636,台驊國際投資控股股份有限公司,26364,台驊投控四,2020-12-02,2021-04-22,2021-04-23,0.41602,41.6022,38.8884,37.2055,19870449.0,3576708.85,5.5555,2021-03,0.7483,0.0028746088348737355,False,,,,,,,94.4338,True,-8.9231,393.8462
2034,允強實業股份有限公司,20343,允強三,2020-12-15,2021-05-07,2021-05-10,0.456156,23.6515,23.427,23.0588,24672084.0,13098335.5,1.8836,2021-03,0.048799999999999996,0.5162149075163209,True,,,,,,,-6.1547,False,-23.1884,37.1015
6196,帆宣系統科技股份有限公司,61964,帆宣四,2020-12-15,2021-12-09,2021-12-10,0.378166,132.8044,130.0447,129.1744,18899846.0,8700828.95,2.1722,2021-10,0.496,0.08874517810957724,True,,,,,,,-21.4291,False,-39.5608,18.9024
1513,中興電工機械股份有限公司,15132,中興電二,2020-12-17,2021-03-11,2021-03-12,0.454074,42.2984,42.0627,41.0345,22817777.0,16066847.5,1.4202,2021-02,0.1189,-0.3530183535141789,False,,,,,,,-12.5546,False,-25.0331,6.7765
6224,聚鼎科技股份有限公司,62241,聚鼎一,2021-01-18,2021-02-22,2021-02-23,0.249994,103.3696,93.3708,91.1014,6080675.0,2321785.4,2.619,2021-01,0.5908,0.13578257780463107,True,,,,,,,-13.7497,False,-26.6477,48.7619
6706,惠特科技股份有限公司,67061,惠特一,2021-02-03,2021-03-16,2021-03-17,0.900594,139.3437,136.3871,136.2586,3747581.0,1774493.75,2.1119,2021-02,0.2974,0.05440295432212255,True,,,,,,,9.0722,False,-25.3602,52.7011
3484,崧騰企業股份有限公司,34842,崧騰二,2021-02-05,2021-12-21,2021-12-22,0.216529,64.2241,63.8268,63.7335,4997931.0,1996076.15,2.5039,2021-11,0.0722,0.014456713471175579,False,,,,,,,-45.1999,False,-49.8826,13.4752
5457,宣德科技股份有限公司,54572,宣德二,2021-03-10,2021-06-25,2021-06-28,0.474152,64.4123,62.2635,60.9604,8549000.0,1436250.0,5.9523,2021-05,0.1585,0.024255491397703784,False,,,,,,,-30.2886,False,-37.0592,20.1465
2610,中華航空股份有限公司,26107,華航七,2021-04-28,2021-11-16,2021-11-17,0.369785,20.9262,18.7368,16.3281,1141479961.0,225927768.8,5.0524,2021-10,0.5482,0.14558718369929322,True,,,,,,,-34.7681,False,-40.424,16.1818
2603,長榮海運股份有限公司,26034,長榮四,2021-05-18,2021-06-18,2021-06-21,0.204712,114.9955,106.5854,94.4551,59223407.0,241206059.75,0.2455,2021-05,1.4534,0.24116408683011278,True,,,,,,,-19.3261,False,-37.2944,67.6259
8097,常珵科技股份有限公司,80972,常珵二,2021-06-21,2022-06-02,2022-06-06,1.631987,71.1145,64.0121,56.2716,10167226.0,1762709.05,5.768,2022-04,6.016900000000001,1.6367573449401522,True,,,,,,,-32.7918,False,-51.2161,3.956
3707,漢磊先進投資控股股份有限公司,37073,漢磊三,2021-06-22,2021-07-14,2021-07-15,0.213974,88.6721,83.6574,82.1977,49927842.0,24285268.6,2.0559,2021-06,0.2663,0.059330220717538004,True,,,,,,,-6.4969,False,-19.2839,73.5
6175,立敦科技(股)有限公司,61754,立敦四,2021-07-15,2021-07-20,2021-07-21,0.285267,39.754,39.6438,36.0237,2901000.0,7290650.0,0.3979,2021-06,0.25429999999999997,0.08450970295460986,True,,,,,,,-33.4709,False,-42.9189,14.3954
6548,長華科技股份有限公司,65481,長科一,2021-07-19,2021-07-22,2021-07-23,0.277373,32.1402,31.7497,28.9765,12737500.0,16237750.0,0.7844,2021-06,0.35840000000000005,0.07729092283907127,True,,,,,,,-18.1468,False,-30.6929,13.7931
3042,台灣晶技股份有限公司,30425,晶技五,2021-07-26,2022-03-24,2022-03-25,0.207582,77.7157,76.0688,74.8735,4913335.0,3170666.45,1.5496,2022-02,-0.0271,-0.16852663714575122,False,,,,,,,-7.5657,False,-26.7443,0.4808
6182,合晶科技股份有限公司,61827,合晶七,2021-07-27,2021-07-27,2021-07-28,0.216677,61.4654,59.9399,58.0196,102838424.0,48021158.85,2.1415,2021-06,0.34340000000000004,-0.01342559186441658,False,,,,,,,-30.4439,False,-37.8346,28.7918
2338,台灣光罩股份有限公司,23383,光罩三,2021-08-03,2021-11-09,2021-11-10,0.267892,84.628,80.3837,76.2455,30308629.0,11930020.45,2.5405,2021-09,0.4165,0.03447680345845087,True,,,,,,,-27.2667,False,-44.9541,25.6713
6477,安集科技股份有限公司,64773,安集三,2021-08-04,2021-10-14,2021-10-15,0.923229,32.6613,32.034,31.1665,29781972.0,4648316.0,6.407,2021-09,-0.6177,0.2599669433496195,True,,,,,,,4.9067,False,-7.7658,60.3345
3533,嘉澤端子工業股份有限公司,35331,嘉澤一,2021-08-19,2021-09-09,2021-09-10,0.432943,488.1886,483.4428,471.4079,2190209.0,429951.65,5.0941,2021-07,0.32130000000000003,0.08881238472312102,False,,,,,,,29.8657,False,-13.1757,43.5811
6217,中國探針股份有限公司,62174,中探針四,2021-08-27,2021-09-09,2021-09-10,0.358689,40.4658,39.2284,37.0885,6736420.0,6070506.2,1.1097,2021-07,0.2482,0.13150421282237715,True,,,,,,,12.2,False,-9.0526,49.7527
2618,長榮航空股份有限公司,26185,長榮航五,2021-09-01,2021-11-16,2021-11-17,0.227008,21.9621,20.1387,17.7581,690524356.0,151099589.05,4.57,2021-10,0.5718,0.21762195455539085,True,,,,,,,-6.1733,False,-17.7434,33.3333
3483,力致科技股份有限公司,34833,力致三,2021-09-29,2021-11-18,2021-11-19,0.987463,61.4034,59.4171,57.9469,6409296.0,1007299.3,6.3629,2021-10,0.4385,-0.09809445165159211,False,,,,,,,-40.5525,False,-52.1547,19.337
4739,康普材料科技股份有限公司,47393,康普三,2021-10-28,2022-02-09,2022-02-10,0.285903,124.5122,122.135,121.978,6198070.0,3969530.8,1.5614,2021-12,0.3789,-0.007401372755117714,False,,,,,,,-27.8234,False,-42.3995,15.8075
6414,樺漢科技股份有限公司,64144,樺漢四,2021-11-16,2021-11-29,2021-11-30,0.407411,181.7584,179.4649,179.3011,4633915.0,1699943.8,2.7259,2021-10,0.0556,-0.12393934293767116,False,,,,,,,-10.6803,False,-22.3872,15.8372
