event_id,stock_code,company_name,cb_code,short_name,issue_date,signal_date,signal_session_offset,signal_calendar_days_after_issue,ma5,ma10,ma20,trust_net_buy_shares,outstanding_shares,share_count_effective_date,trust_daily_pct_capital,entry_date,entry_price,entry_price_basis,mature_365d,hit_100_365d,days_to_100_365d,max_high_return_365d,max_high_date_365d,min_low_return_365d,fixed_return_365d,current_return_pct
1513|15131|2020-01-16,1513,中興電工機械股份有限公司,15131,中興電一,2020-01-16,2020-09-04,153,232,33.412,29.8503,27.7818,1479000.0,420000000.0,2019-12-31,0.352143,2020-09-07,38.314295466462845,next_session_open,True,False,,39.8013,2020-12-10,-13.3401,2.2881,
6416|64161|2020-02-10,6416,瑞祺電通股份有限公司,64161,瑞祺電通一,2020-02-10,2020-03-13,23,32,104.0984,99.926,99.3149,360000.0,68035600.0,2019-12-31,0.529135,2020-03-16,100.30533793934605,next_session_open,True,False,,47.479,2020-07-13,-13.4454,9.2859,
4967|49671|2020-02-17,4967,十銓科技股份有限公司,49671,十銓一,2020-02-17,2020-02-24,5,7,47.0748,45.078,43.5407,150000.0,68257500.0,2019-12-31,0.219756,2020-02-25,48.241104733465235,next_session_open,True,False,,52.9162,2021-02-24,-43.2234,32.3603,
3483|34832|2020-02-20,3483,力致科技股份有限公司,34832,力致二,2020-02-20,2020-04-08,31,48,32.4644,29.7346,27.2084,338000.0,57027400.0,2019-12-31,0.592698,2020-04-09,36.54930369934472,next_session_open,True,True,315,172.7108,2021-04-08,-9.0909,152.1103,
6441|64411|2020-03-05,6441,廣錠科技股份有限公司,64411,廣錠一,2020-03-05,2020-04-28,36,54,59.3787,58.9669,57.1306,350000.0,30762299.999999996,2019-12-31,1.137756,2020-04-29,64.01233980156134,next_session_open,True,True,169,152.5326,2020-11-06,-4.6917,59.5673,
2228|22282|2020-03-09,2228,劍麟股份有限公司,22282,劍麟二,2020-03-09,2020-06-03,59,86,67.5262,66.3819,66.0154,221000.0,75780300.0,2019-12-31,0.291633,2020-06-04,77.04035047709648,next_session_open,True,False,,1.9417,2020-06-09,-32.5086,-27.5702,
2492|24921|2020-04-29,2492,華新科技股份有限公司,24921,華新科一,2020-04-29,2020-11-03,128,188,142.2412,140.5813,138.6447,1244000.0,485800000.00000006,2019-12-31,0.256072,2020-11-04,155.350215342822,next_session_open,True,False,,59.726,2021-02-23,-21.8991,-10.863,
6274|62743|2020-05-22,6274,台燿科技股份有限公司,62743,台燿三,2020-05-22,2020-06-17,18,26,112.9311,111.6807,109.4728,547000.0,264811200.0,2019-12-31,0.206562,2020-06-18,114.88493347167969,next_session_open,True,False,,1.3605,2020-06-22,-39.8477,-21.4482,
9958|99584|2020-08-11,9958,世紀鋼鐵結構股份有限公司,99584,世紀鋼四,2020-08-11,2020-08-18,5,7,89.6794,88.1344,84.6158,591000.0,209434800.0,2019-12-31,0.282188,2020-08-19,94.66256308894587,next_session_open,True,False,,38.5679,2020-10-13,-9.1451,4.7593,
9802|98025|2020-08-17,9802,鈺齊國際股份有限公司,98025,鈺齊五KY,2020-08-17,2020-08-17,0,0,92.0558,88.6457,87.0985,854000.0,174756600.0,2019-12-31,0.48868,2020-08-18,96.45846445246261,next_session_open,True,False,,17.8999,2021-04-19,-29.9362,-27.3162,
1598|15982|2020-08-24,1598,岱宇國際股份有限公司,15982,岱宇二,2020-08-24,2020-10-28,44,65,97.4378,96.1876,95.2026,244000.0,115100900.0,2019-12-31,0.211988,2020-10-29,96.98315134600479,next_session_open,True,False,,26.5625,2020-11-09,-51.3281,-45.5278,
4760|47601|2020-08-25,4760,勤凱科技股份有限公司,47601,勤凱一,2020-08-25,2021-01-07,93,135,72.3605,71.1958,70.4794,132000.0,30815400.0,2020-12-31,0.428357,2021-01-08,76.46734777761128,next_session_open,True,False,,65.2667,2021-07-27,-6.0914,-6.0914,
3092|30921|2020-09-21,3092,鴻碩精密電工股份有限公司,30921,鴻碩一,2020-09-21,2021-01-12,77,113,54.7355,53.562,51.3799,272000.0,83280999.99999999,2020-12-31,0.326605,2021-01-13,55.83574846820633,next_session_open,True,False,,36.9458,2021-03-18,-14.5156,-11.6661,
3260|32607|2020-09-28,3260,威剛科技股份有限公司,32607,威剛七,2020-09-28,2020-10-07,5,9,42.5118,41.8378,41.6561,978000.0,223794290.00000003,2019-12-31,0.437008,2020-10-08,44.904669918065274,next_session_open,True,True,202,122.597,2021-07-07,-8.0944,37.2238,
4967|49672|2020-10-07,4967,十銓科技股份有限公司,49672,十銓二,2020-10-07,2020-12-09,44,63,45.9783,43.4387,40.5666,170000.0,68257500.0,2019-12-31,0.249057,2020-12-10,47.163452783780784,next_session_open,True,True,208,102.0513,2021-07-27,-7.5641,16.2521,
5263|52633|2020-10-12,5263,智崴資訊科技股份有限公司,52633,智崴三,2020-10-12,2021-03-08,96,147,111.9671,110.0635,103.8648,125000.0,55747400.0,2020-12-31,0.224226,2021-03-09,125.43827825670499,next_session_open,True,False,,32.6848,2021-11-15,-21.7899,-8.9494,
5309|53094|2020-10-20,5309,系統電子工業股份有限公司,53094,系統電四,2020-10-20,2020-11-03,10,14,37.202,36.215,36.0171,2624000.0,151154690.0,2019-12-31,1.73597,2020-11-04,42.77134494224059,next_session_open,True,False,,23.7458,2020-12-03,-46.7113,-14.8272,
6441|64413|2020-10-26,6441,廣錠科技股份有限公司,64413,廣錠三,2020-10-26,2021-02-22,77,119,122.6601,120.5729,119.396,110000.0,38576800.0,2020-12-31,0.285145,2021-02-23,135.006103515625,next_session_open,True,False,,1.6447,2021-02-23,-75.7566,-65.8783,
3653|36533|2020-10-30,3653,健策精密工業股份有限公司,36533,健策三,2020-10-30,2020-12-08,27,39,235.119,234.4879,231.5215,378000.0,121025400.0,2019-12-31,0.312331,2020-12-09,244.88057734242958,next_session_open,True,False,,61.4958,2021-12-03,-30.5842,50.2857,
6477|64772|2020-10-30,6477,安集科技股份有限公司,64772,安集二,2020-10-30,2020-12-24,39,55,58.6943,56.888,56.5795,408000.0,94456600.0,2019-12-31,0.431944,2020-12-25,65.63314500376387,next_session_open,True,False,,3.951,2020-12-25,-57.9376,-31.8492,
3324|33244|2020-11-12,3324,雙鴻科技股份有限公司,33244,雙鴻四,2020-11-12,2020-11-12,0,0,212.8329,204.7212,199.1307,2372000.0,86449800.0,2019-12-31,2.743789,2020-11-13,231.51169836544295,next_session_open,True,False,,0.5682,2020-11-13,-48.8636,-32.7496,
3413|34132|2020-11-16,3413,京鼎精密科技股份有限公司,34132,京鼎二,2020-11-16,2020-12-03,13,17,159.7381,158.7422,153.8389,208000.0,82687500.0,2019-12-31,0.25155,2020-12-04,167.7824980446656,next_session_open,True,False,,28.5388,2021-04-08,-16.2101,10.4276,
3141|31411|2020-11-25,3141,晶宏半導體股份有限公司,31411,晶宏一,2020-11-25,2020-12-09,10,14,36.5319,36.1416,34.6057,178000.0,63917500.0,2019-12-31,0.278484,2020-12-10,40.407371520996094,next_session_open,True,True,180,550.3949,2021-11-15,-12.9545,518.4456,
2636|26364|2020-12-02,2636,台驊國際投資控股股份有限公司,26364,台驊投控四,2020-12-02,2021-04-22,89,141,41.6022,38.8884,37.2055,529000.0,127157410.0,2020-12-31,0.41602,2021-04-23,42.814141953744254,next_session_open,True,True,41,393.8462,2021-07-05,-8.9231,94.4338,
2034|20343|2020-12-15,2034,允強實業股份有限公司,20343,允強三,2020-12-15,2021-05-07,90,143,23.6515,23.427,23.0588,1994000.0,437130710.0,2020-12-31,0.456156,2021-05-10,27.17200792339486,next_session_open,True,False,,37.1015,2021-07-20,-23.1884,-6.1547,
6196|61964|2020-12-15,6196,帆宣系統科技股份有限公司,61964,帆宣四,2020-12-15,2021-12-09,240,359,132.8044,130.0447,129.1744,708000.0,187219200.0,2020-12-31,0.378166,2021-12-10,139.25783949997566,next_session_open,True,False,,18.9024,2021-12-30,-39.5608,-21.4291,
1513|15132|2020-12-17,1513,中興電工機械股份有限公司,15132,中興電二,2020-12-17,2021-03-11,51,84,42.2984,42.0627,41.0345,2162000.0,476134300.0,2020-12-31,0.454074,2021-03-12,44.37919235229492,next_session_open,True,False,,6.7765,2021-04-13,-25.0331,-12.5546,
6224|62241|2021-01-18,6224,聚鼎科技股份有限公司,62241,聚鼎一,2021-01-18,2021-02-22,18,35,103.3696,93.3708,91.1014,200000.0,80001800.0,2020-12-31,0.249994,2021-02-23,110.30038682469782,next_session_open,True,False,,48.7619,2021-07-13,-26.6477,-13.7497,
6706|67061|2021-02-03,6706,惠特科技股份有限公司,67061,惠特一,2021-02-03,2021-03-16,21,41,139.3437,136.3871,136.2586,605000.0,67177900.0,2020-12-31,0.900594,2021-03-17,148.68469045302447,next_session_open,True,False,,52.7011,2022-01-12,-25.3602,9.0722,
3484|34842|2021-02-05,3484,崧騰企業股份有限公司,34842,崧騰二,2021-02-05,2021-12-21,211,319,64.2241,63.8268,63.7335,151000.0,69736600.0,2020-12-31,0.216529,2021-12-22,68.60305425788256,next_session_open,True,False,,13.4752,2021-12-24,-49.8826,-45.1999,
5457|54572|2021-03-10,5457,宣德科技股份有限公司,54572,宣德二,2021-03-10,2021-06-25,72,107,64.4123,62.2635,60.9604,803000.0,169355000.0,2020-12-31,0.474152,2021-06-28,70.67746747205341,next_session_open,True,False,,20.1465,2021-07-13,-37.0592,-30.2886,
2610|26107|2021-04-28,2610,中華航空股份有限公司,26107,華航七,2021-04-28,2021-11-16,139,202,20.9262,18.7368,16.3281,20046000.0,5420984700.0,2020-12-31,0.369785,2021-11-17,22.549765521082385,next_session_open,True,False,,16.1818,2022-02-18,-40.424,-34.7681,
2603|26034|2021-05-18,2603,長榮海運股份有限公司,26034,長榮四,2021-05-18,2021-06-18,22,31,114.9955,106.5854,94.4551,10217000.0,4990902100.0,2020-12-31,0.204712,2021-06-21,119.28639150920667,next_session_open,True,False,,67.6259,2021-07-06,-37.2944,-19.3261,
8097|80972|2021-06-21,8097,常珵科技股份有限公司,80972,常珵二,2021-06-21,2022-06-02,233,346,71.1145,64.0121,56.2716,652000.0,39951300.0,2021-12-31,1.631987,2022-06-06,82.96687110452274,next_session_open,True,False,,3.956,2022-09-01,-51.2161,-32.7918,
3707|37073|2021-06-22,3707,漢磊先進投資控股股份有限公司,37073,漢磊三,2021-06-22,2021-07-14,16,22,88.6721,83.6574,82.1977,668000.0,312187700.0,2020-12-31,0.213974,2021-07-15,98.3279132861329,next_session_open,True,False,,73.5,2021-11-02,-19.2839,-6.4969,
6175|61754|2021-07-15,6175,立敦科技(股)有限公司,61754,立敦四,2021-07-15,2021-07-20,3,5,39.754,39.6438,36.0237,389000.0,136363500.0,2020-12-31,0.285267,2021-07-21,42.50320130870249,next_session_open,True,False,,14.3954,2021-08-05,-42.9189,-33.4709,
6548|65481|2021-07-19,6548,長華科技股份有限公司,65481,長科一,2021-07-19,2021-07-22,3,3,32.1402,31.7497,28.9765,101000.0,36413100.0,2020-12-31,0.277373,2021-07-23,33.58965510286508,next_session_open,True,False,,13.7931,2021-09-01,-30.6929,-18.1468,
3042|30425|2021-07-26,3042,台灣晶技股份有限公司,30425,晶技五,2021-07-26,2022-03-24,161,241,77.7157,76.0688,74.8735,643000.0,309757000.0,2021-12-31,0.207582,2022-03-25,78.93001720952053,next_session_open,True,False,,0.4808,2022-03-25,-26.7443,-7.5657,
6182|61827|2021-07-27,6182,合晶科技股份有限公司,61827,合晶七,2021-07-27,2021-07-27,0,0,61.4654,59.9399,58.0196,1107000.0,510898410.0,2020-12-31,0.216677,2021-07-28,63.06190469233883,next_session_open,True,False,,28.7918,2021-12-08,-37.8346,-30.4439,
2338|23383|2021-08-03,2338,台灣光罩股份有限公司,23383,光罩三,2021-08-03,2021-11-09,67,98,84.628,80.3837,76.2455,677000.0,252713590.0,2020-12-31,0.267892,2021-11-10,85.90132617248042,next_session_open,True,False,,25.6713,2021-12-07,-44.9541,-27.2667,
