event_id,stock_code,company_name,cb_code,short_name,issue_date,entry_offset,entry_date,fin_quarter,standalone_gross_margin_pct,standalone_operating_margin_pct,standalone_net_margin_pct,revenue_yoy_pct,revenue_mom_pct,trust_bucket,trust_net_20d_pct_capital,hit_100_365d,fixed_return_365d
3483|34834|2024-05-22,3483,力致科技股份有限公司,34834,力致四,2024-05-22,60,2024-08-19,2024Q2,21.38,5.25,10.35,5.0,8.1,non_trust_led,-0.848924,False,-23.57
8112|811210|2024-05-24,8112,至上電子股份有限公司,811210,至上十,2024-05-24,60,2024-08-21,2024Q2,3.4,2.61,1.28,70.46,-20.55,trust_led,2.297465,False,-38.01
3583|35831|2024-06-07,3583,辛耘企業股份有限公司,35831,辛耘一,2024-06-07,60,2024-09-04,2024Q2,27.89,10.98,9.55,34.71,-11.46,non_trust_led,-3.691116,False,0.08
3583|35832|2024-06-19,3583,辛耘企業股份有限公司,35832,辛耘二,2024-06-19,40,2024-08-16,2024Q2,27.89,10.98,9.55,34.71,-11.46,trust_led,0.984713,False,-21.1
3583|35832|2024-06-19,3583,辛耘企業股份有限公司,35832,辛耘二,2024-06-19,60,2024-09-13,2024Q2,27.89,10.98,9.55,57.16,16.74,non_trust_led,-3.541729,False,-7.63
3312|33121|2024-06-25,3312,弘憶國際股份有限公司,33121,弘憶股一,2024-06-25,40,2024-08-22,2024Q2,5.57,2.69,2.51,22.41,10.78,non_trust_led,0.038739,False,-50.58
3312|33121|2024-06-25,3312,弘憶國際股份有限公司,33121,弘憶股一,2024-06-25,60,2024-09-20,2024Q2,5.57,2.69,2.51,20.26,4.02,non_trust_led,-0.03136,False,-38.31
2486|24866|2024-07-01,2486,一詮精密工業股份有限公司,24866,一詮六,2024-07-01,40,2024-08-28,2024Q2,14.42,0.47,2.61,12.26,5.23,non_trust_led,0.038746,False,-16.88
2486|24866|2024-07-01,2486,一詮精密工業股份有限公司,24866,一詮六,2024-07-01,60,2024-09-26,2024Q2,14.42,0.47,2.61,12.44,2.37,non_trust_led,-0.91008,False,-20.4
6509|65096|2024-07-03,6509,聚和國際股份有限公司,65096,聚和六,2024-07-03,40,2024-08-30,2024Q2,33.37,17.99,14.85,6.99,-7.27,non_trust_led,-0.031702,False,-11.31
6509|65096|2024-07-03,6509,聚和國際股份有限公司,65096,聚和六,2024-07-03,60,2024-09-30,2024Q2,33.37,17.99,14.85,-5.19,0.1,non_trust_led,-0.005764,False,-9.98
6624|66241|2024-07-05,6624,萬年清環境工程股份有限公司,66241,萬年清一,2024-07-05,40,2024-09-03,2024Q2,8.85,-3.92,-2.31,-27.12,-43.07,non_trust_led,0.0,False,-7.9
6624|66241|2024-07-05,6624,萬年清環境工程股份有限公司,66241,萬年清一,2024-07-05,60,2024-10-04,2024Q2,8.85,-3.92,-2.31,-3.55,18.43,non_trust_led,0.0,False,-12.66
2439|24394|2024-07-10,2439,美律實業股份有限公司,24394,美律四,2024-07-10,40,2024-09-06,2024Q2,13.14,3.96,5.58,58.93,16.6,trust_led,0.923662,False,-18.52
2439|24394|2024-07-10,2439,美律實業股份有限公司,24394,美律四,2024-07-10,60,2024-10-09,2024Q2,13.14,3.96,5.58,74.33,18.28,trust_led,0.367003,False,-2.4
8478|84781|2024-07-15,8478,東哥企業股份有限公司,84781,東哥遊艇一,2024-07-15,20,2024-08-14,2024Q2,48.85,32.89,30.5,-93.18,-95.57,non_trust_led,0.112503,False,-32.03
8478|84781|2024-07-15,8478,東哥企業股份有限公司,84781,東哥遊艇一,2024-07-15,40,2024-09-11,2024Q2,48.85,32.89,30.5,20.27,921.5,non_trust_led,-0.300384,False,-19.42
8478|84781|2024-07-15,8478,東哥企業股份有限公司,84781,東哥遊艇一,2024-07-15,60,2024-10-15,2024Q2,48.85,32.89,30.5,-37.94,128.02,non_trust_led,0.0045,False,-28.1
2439|24395|2024-07-22,2439,美律實業股份有限公司,24395,美律五,2024-07-22,20,2024-08-21,2024Q2,13.14,3.96,5.58,58.93,16.6,trust_led,0.649663,False,-9.08
2439|24395|2024-07-22,2439,美律實業股份有限公司,24395,美律五,2024-07-22,40,2024-09-19,2024Q2,13.14,3.96,5.58,74.33,18.28,trust_led,0.726711,False,-15.19
2439|24395|2024-07-22,2439,美律實業股份有限公司,24395,美律五,2024-07-22,60,2024-10-22,2024Q2,13.14,3.96,5.58,1.02,1.0,non_trust_led,-0.790082,False,-2.83
9933|99332|2024-07-23,9933,中鼎工程股份有限公司,99332,中鼎二,2024-07-23,20,2024-08-22,2024Q2,5.3,3.53,2.85,12.67,-4.33,non_trust_led,0.106657,False,-28.0
9933|99332|2024-07-23,9933,中鼎工程股份有限公司,99332,中鼎二,2024-07-23,40,2024-09-20,2024Q2,5.3,3.53,2.85,9.09,6.38,trust_led,0.73577,False,-23.75
9933|99332|2024-07-23,9933,中鼎工程股份有限公司,99332,中鼎二,2024-07-23,60,2024-10-23,2024Q2,5.3,3.53,2.85,-14.31,-8.49,non_trust_led,-0.134783,False,-21.42
3324|33245|2024-07-31,3324,雙鴻科技股份有限公司,33245,雙鴻五,2024-07-31,20,2024-08-28,2024Q2,28.39,16.04,14.8,27.63,-19.12,non_trust_led,-4.395536,False,10.53
3324|33245|2024-07-31,3324,雙鴻科技股份有限公司,33245,雙鴻五,2024-07-31,40,2024-09-26,2024Q2,28.39,16.04,14.8,20.13,4.14,trust_led,0.745165,False,16.93
3324|33245|2024-07-31,3324,雙鴻科技股份有限公司,33245,雙鴻五,2024-07-31,60,2024-10-29,2024Q2,28.39,16.04,14.8,15.3,-0.06,trust_led,0.414819,False,56.36
3605|36053|2024-08-06,3605,宏致電子股份有限公司,36053,宏致三,2024-08-06,20,2024-09-03,2024Q2,23.24,2.76,2.73,23.31,9.56,non_trust_led,0.0,False,36.31
3605|36053|2024-08-06,3605,宏致電子股份有限公司,36053,宏致三,2024-08-06,40,2024-10-04,2024Q2,23.24,2.76,2.73,15.1,0.14,non_trust_led,0.0,False,37.32
