window_id,window_label,stock_code,company_name,cb_code,issue_date,factor_as_of_date,buy_date,buy_price,sell_date,sell_price,return_pct,momentum_20d,momentum_60d,ma5_gt_ma10_gt_ma20,volume_ratio_5v20,top1_foreign_net_20d_pct_capital,top1_trust_net_20d_pct_capital,revenue_yoy,eps,contract_liability_growth
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,6532,瑞耘科技股份有限公司,65321,2020-03-18,2020-04-16,2020-04-17,30.9056,2021-01-19,48.6771,57.5023,22.1169,7.9609,True,0.8717,,,0.4485,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,4555,台灣氣立股份有限公司,45552,2020-04-28,2020-05-26,2020-05-27,48.0153,2021-03-09,54.5679,13.6469,-6.3158,11.0187,False,1.0462,,,0.3159,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,2492,華新科技股份有限公司,24921,2020-04-29,2020-05-27,2020-05-28,158.9778,2021-03-10,203.0193,27.703,-10.5386,-10.3286,False,0.7543,,,-0.0394,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,6150,撼訊科技股份有限公司,61504,2020-04-29,2020-05-27,2020-05-28,41.9636,2021-03-10,102.3913,144.0,16.1483,-17.7119,False,0.2896,,,-0.08960000000000001,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,4919,新唐科技股份有限公司,49191,2020-05-20,2020-04-27,2020-04-28,31.2594,2020-06-02,31.9689,2.2697,19.9675,-19.4111,True,0.6232,,,-0.0339,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,4919,新唐科技股份有限公司,49191,2020-05-20,2020-06-16,2020-06-17,32.0106,2021-03-30,45.7838,43.027,7.6056,40.4412,False,0.6407,,,0.16190000000000002,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,6274,台燿科技股份有限公司,62743,2020-05-22,2020-04-29,2020-04-30,103.5527,2020-06-04,111.368,7.5472,13.7546,5.6614,False,0.4263,,,0.2439,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,6274,台燿科技股份有限公司,62743,2020-05-22,2020-06-18,2020-06-19,115.6665,2021-04-01,93.0021,-19.5946,7.6923,45.0592,True,1.1586,,,0.1558,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,4167,展旺生命科技股份有限公司,41672,2020-05-25,2020-04-30,2020-05-04,22.0966,2020-06-05,26.7629,21.118,16.1905,18.4466,True,1.2558,,,0.154,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,4167,展旺生命科技股份有限公司,41672,2020-05-25,2020-06-19,2020-06-22,39.3438,2021-04-07,26.9002,-31.6279,57.8154,122.2811,True,1.9032,,,0.6142,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,6589,台康生技股份有限公司,65891,2020-05-29,2020-05-07,2020-05-08,48.7269,2020-06-11,53.866,10.5469,79.698,86.6095,True,1.6486,,,1.4308,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,6589,台康生技股份有限公司,65891,2020-05-29,2020-06-29,2020-06-30,57.3873,2021-04-13,148.0,157.8968,5.8925,119.6501,True,1.0741,,,2.5273,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,6208,日揚科技股份有限公司,62083,2020-05-29,2020-05-07,2020-05-08,25.3194,2020-06-11,28.9932,14.5098,1.6771,2.7867,False,1.3661,,,-0.0334,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,6208,日揚科技股份有限公司,62083,2020-05-29,2020-06-29,2020-06-30,30.0854,2021-04-13,45.3322,50.6784,17.3152,33.6911,False,1.0672,,,-0.1177,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,6189,豐藝電子股份有限公司,61893,2020-06-08,2020-05-15,2020-05-18,17.7451,2020-06-19,17.982,1.3353,3.6923,-1.462,True,0.9549,,,0.3732,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,6189,豐藝電子股份有限公司,61893,2020-06-08,2020-07-07,2020-07-08,18.5613,2021-04-21,23.1732,24.8473,1.2931,14.4481,True,1.1316,,,-0.052300000000000006,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,2731,雄獅旅行社股份有限公司,27311,2020-06-30,2020-06-04,2020-06-05,64.2829,2020-07-13,60.1917,-6.3644,14.8202,14.9856,True,0.8699,,,-0.9594,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,2731,雄獅旅行社股份有限公司,27311,2020-06-30,2020-07-27,2020-07-28,56.8935,2021-05-12,64.3144,13.0435,-7.5667,1.8762,False,0.7139,,,-0.9581999999999999,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,8104,錸寶科技股份有限公司,81041,2020-07-17,2020-06-23,2020-06-24,37.2433,2020-07-30,44.6429,19.8682,8.5502,51.0345,True,1.5396,,,0.08900000000000001,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,8104,錸寶科技股份有限公司,81041,2020-07-17,2020-08-13,2020-08-14,42.19,2021-05-31,40.7591,-3.3915,-0.1934,30.8307,False,1.3882,,,0.1494,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,6179,亞通利大能源股份有限公司,61791,2020-07-21,2020-06-29,2020-06-30,28.7503,2020-08-03,32.5663,13.2727,3.6657,27.1583,True,1.6195,,,0.5337,,
t_plus_20_to_t_plus_210,T+20 買進，T+210 出場,6179,亞通利大能源股份有限公司,61791,2020-07-21,2020-08-17,2020-08-18,33.7755,2021-06-02,26.5617,-21.358,1.788,19.7754,False,0.6636,,,0.4146,,
t_minus_15_to_t_plus_9,T-15 買進，T+9 出場,2472,立隆電子工業股份有限公司,24723,2020-07-22,2020-06-30,2020-07-01,32.6824,2020-08-04,36.496,11.6686,1.9185,55.1095,True,0.696,,,0.11869999999999999,,
